geoip_id,user_id,session_id,timestamp,ip_address,latitude,longitude,city,country,isp,action,application
7c7a1256-0993-4289-a47a-d54ce5db64a1,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:52:17,57.127.37.133,27.624919504590423,89.99703518577346,Mumbai,UK,ISP_D,ALLOW,HTTP
f7ac3fe2-f838-468f-acfb-03a26a410d45,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:54:17,74.48.194.169,19.067721,72.873841,Mumbai,AU,ISP_B,DENY,HTTPS
475dda65-ab50-41e7-9f9c-f0acdc48a6fc,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:54:17,170.86.158.11,19.069837,72.87109,Mumbai,UK,ISP_D,DENY,HTTP
f1c6ec4e-82a4-44af-992a-e711eb7f8c93,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 09:18:26,78.193.163.41,19.068775,72.86782,Mumbai,RU,SuspiciousISP,DENY,GeoLookup
9d81934e-0f0e-4771-a2c0-8569baf3c97f,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:45:59,172.51.232.232,48.848224,2.346528,Paris,FR,ISP_C,ALLOW,HTTP
6fb7a22d-cc50-42fc-b3cb-8eca7e6c2011,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:49:59,198.34.42.224,48.86588,2.348837,Paris,IN,ISP_A,ALLOW,HTTP
7d543c02-d5f7-4f90-b9b4-97ba68f850c6,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 17:53:22,196.35.88.251,48.860159,2.357432,Paris,RU,SuspiciousISP,DENY,GeoLookup
b26f74b9-1919-4ecd-8882-d3e1edc0bb6d,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:54:59,102.253.186.151,48.861226,2.360157,Paris,IN,ISP_A,ALLOW,CustomApp
d1d3297d-2d64-422d-8a4b-4c430f33e585,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:08:50,23.176.213.54,33.456925,-112.077849,Phoenix,FR,ISP_B,ALLOW,SMTP
2d11320f-14ba-46d6-85f1-069cab086449,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 01:55:54,174.84.51.4,33.442036,-112.064288,Phoenix,RU,SuspiciousISP,DENY,GeoLookup
e19504be-4a36-4cdc-9a85-43ef90a35574,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:12:50,116.179.81.177,33.448966,-112.081077,Phoenix,CA,ISP_A,ALLOW,HTTP
7338cc4b-2953-4b34-9c7f-a1e474cdb906,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:17:50,131.56.254.167,33.457412,-112.076163,Phoenix,US,ISP_B,ALLOW,CustomApp
050080f8-7663-4c52-8da8-b447630cd439,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 11:38:24,196.254.150.148,41.87575,-87.624104,Chicago,DE,ISP_B,ALLOW,HTTP
b5ac3629-b80a-48a9-adad-286c06b2641f,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 11:41:24,18.248.111.193,41.881905,-87.639053,Chicago,AU,ISP_C,ALLOW,SMTP
81e94507-6745-47b9-8107-64f7cb0714a0,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 11:46:24,96.199.235.142,41.878315,-87.630939,Chicago,FR,ISP_B,ALLOW,CustomApp
4ecc1af7-e3cf-4e89-8cec-eb2a7fa3d1f1,user_1,6cd20dcb-161b-44a5-858b-d40592f168c6,2025-07-14 08:14:07,175.125.90.59,41.880317,-87.620155,Chicago,RU,SuspiciousISP,DENY,GeoLookup
c03d9282-f36a-4dbc-8883-53a07f717a8c,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 14:07:33,167.196.102.76,33.4404,-112.081454,Phoenix,AU,ISP_C,ALLOW,HTTPS
d1a41423-1646-4551-a3fd-e12da629b5ae,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 03:09:29,180.234.140.160,33.44039,-112.068609,Phoenix,RU,SuspiciousISP,DENY,GeoLookup
48e28318-798b-40bd-9954-99b32073041b,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 14:11:33,32.73.35.172,33.44422,-112.06825,Phoenix,CA,ISP_B,ALLOW,SMTP
c756ce97-73b5-4d30-b15b-5d4c69144fb0,user_1,c6a456db-33a0-4e07-8fc2-2c1dba917f10,2025-07-14 14:16:33,123.239.73.32,46.61769781670926,-96.38372784080381,Phoenix,IN,ISP_B,ALLOW,SSH
caec1240-f114-486d-851b-16d3c5554307,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 08:35:49,101.113.206.88,52.524702,13.397244,Berlin,CA,ISP_C,ALLOW,HTTPS
243132c8-7361-4232-b2e7-0b056eb08445,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 00:56:17,171.191.113.31,52.514253,13.40788,Berlin,RU,SuspiciousISP,DENY,GeoLookup
d52293b6-1bdb-4541-8498-3c310c018650,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 08:37:49,153.125.207.225,72.37507244551972,16.731735976361065,Berlin,DE,ISP_D,ALLOW,HTTPS
1da1cb7c-7cd8-4a77-b7d0-0b0aa764511f,user_1,56f43425-8ab2-4610-b10d-8fe5f6e3b349,2025-07-14 08:38:49,184.243.1.221,52.522861,13.397468,Berlin,UK,ISP_D,ALLOW,HTTP
