subscriber_id,user_id,protocol,src_ip,src_port,post_nat_source_ip,post_nat_source_port,dest_ip,dest_port,timestamp,flow_start_time,flow_end_time,bytes_sent,bytes_received,session_id,action,application
user_1,user_1,SMTP,192.168.6.126,15140,10.160.219.127,53,114.173.227.20,80,2025-07-14 08:52:17,2025-07-14 08:52:17,2025-07-14 08:53:36,35163,7171,76309621-7628-4c88-886c-0c723821e5fb,ALLOW,HTTP
user_1,user_1,HTTPS,172.16.178.36,41647,10.198.94.5,22671,74.206.78.142,20259,2025-07-14 08:54:17,2025-07-14 08:54:17,2025-07-14 09:05:05,14157,4340,76309621-7628-4c88-886c-0c723821e5fb,ALLOW,CustomApp
user_1,user_1,TCP,192.168.109.74,53,10.62.48.169,43966,105.205.72.151,62344,2025-07-14 08:56:17,2025-07-14 08:56:17,2025-07-14 09:01:34,9796,12441,76309621-7628-4c88-886c-0c723821e5fb,ALLOW,DNS
user_1,user_1,HTTP,62.103.247.61,53,10.138.11.189,26882,215.219.118.94,80,2025-07-14 10:08:19,2025-07-14 10:08:19,2025-07-14 09:09:00,142760,93417,76309621-7628-4c88-886c-0c723821e5fb,ALLOW,HTTP
user_1,user_1,HTTPS,192.168.26.139,443,10.206.120.216,22,173.151.182.195,80,2025-07-14 08:45:59,2025-07-14 08:45:59,2025-07-14 08:47:19,9197,3745,58f28fe7-1bb8-4cb3-b241-2165c7860f61,ALLOW,HTTPS
user_1,user_1,UDP,172.16.248.211,25,192.168.95.77,53,112.210.115.190,53,2025-07-14 08:46:59,2025-07-14 08:46:59,2025-07-14 08:57:33,2304,9158,58f28fe7-1bb8-4cb3-b241-2165c7860f61,ALLOW,HTTPS
user_1,user_1,HTTP,67.177.19.150,443,172.29.16.8,33166,51.168.219.128,443,2025-07-14 16:47:33,2025-07-14 16:47:33,2025-07-14 09:04:53,100168,105930,58f28fe7-1bb8-4cb3-b241-2165c7860f61,ALLOW,HTTP
user_1,user_1,UDP,192.168.213.125,80,10.188.204.117,80,14.25.99.130,25,2025-07-14 08:51:59,2025-07-14 08:51:59,2025-07-14 08:55:55,12071,8689,58f28fe7-1bb8-4cb3-b241-2165c7860f61,ALLOW,HTTPS
user_1,user_1,HTTPS,10.190.209.104,443,192.168.171.27,443,82.185.47.126,80,2025-07-14 12:08:50,2025-07-14 12:08:50,2025-07-14 12:21:00,3738,9204,e674145a-48da-4dae-a0f5-bd3fe6d08a31,ALLOW,HTTPS
user_1,user_1,NonPublicAPI,173.154.98.3,22,10.237.19.23,80,152.216.184.14,43872,2025-07-14 05:17:00,2025-07-14 05:17:00,2025-07-14 12:23:07,116123,97262,e674145a-48da-4dae-a0f5-bd3fe6d08a31,ALLOW,NonPublicAPI
